id;razon;direccion;telefono;email;fecha_fundacion;presidente
1;political plus;ouch aboard;suggest;Lilia_AguirreHeredia79@gmail.com;2024-06-12;while
2;yippee;differ bull-fighter divalent;selfishly muse;Guillermo56@yahoo.com;2024-06-13;over
3;enormously yum;queasily wherever;up dear above;Clemente_AlmarazBarragan79@hotmail.com;2024-06-13;drat
4;inasmuch;invention for;harmonious;Barbara_TamezFuentes7@gmail.com;2024-06-13;likely
5;jangle er;likewise quickly;sans who times;Lucia.JaquezVillalobos24@hotmail.com;2024-06-13;limited
6;immaterial plight whoever;plain;oblong down;JulioCesar32@hotmail.com;2024-06-12;who
7;wet;across why distinct;lest warp;Gonzalo_DelaoBanda46@gmail.com;2024-06-12;colorful pish
8;judgementally;mountainous;valiantly;JoseEmilio_MataZamudio@hotmail.com;2024-06-13;famously sure-footed
9;hash;meanwhile;quilt youthful;Isabel_PabonBermudez@gmail.com;2024-06-13;hectare capitulate provided
10;the big;never;whale including finally;Carmen16@yahoo.com;2024-06-12;gadzooks likewise
