id;nombres;apellidos;cargo;telefono;fecha_eleccion;fecha_vencimiento;email
1;author finally;towards recollection;whose;as under shackle;2024-06-12;2024-06-13;Rosalia_VazquezCedillo64@gmail.com
2;greedy;jury normalisation;criticize ideal when;promptly aw;2024-06-12;2024-06-12;Isabela_AbeytaValentin0@gmail.com
3;who;bottom coarse;step-father less;consequently happy-go-lucky;2024-06-13;2024-06-12;Enrique_MaciasEscobar@yahoo.com
4;fooey;prize instead;splendid seemingly;and radiant grip;2024-06-13;2024-06-13;Juan11@hotmail.com
5;huzzah carelessly righteously;survey;yippee wage;famously;2024-06-13;2024-06-12;Martin.MendozaPizarro@gmail.com
6;drat;gadzooks inflict;though zowie;frightening psst;2024-06-13;2024-06-13;Francisca72@gmail.com
7;vamoose fanlight;curiously intercut fooey;after;solve stunning;2024-06-12;2024-06-13;Diana.ArteagaArellano42@gmail.com
8;unabashedly;grandiose;young unethically;while outside;2024-06-13;2024-06-13;Carla98@hotmail.com
9;indolent until incidentally;gloomy;afterwards;system indeed;2024-06-12;2024-06-13;Luisa_NietoFarias@hotmail.com
10;off modulo gosh;ha;than;sternly;2024-06-12;2024-06-13;Marilu.ArteagaMaya@yahoo.com
