id;id_jugador;nro_identificacion;tipo_identificacion;nombres;apellidos;nacionalidad;edad;fecha_nacimiento;numero_camisa;contacto_emergencia;calle_avenida_direccion;numero_direccion;numero_personal;imagen_jugador;imagen_jugador_content_type;documento_identificacion;documento_identificacion_content_type
1;32750;32633;PASAPORTE;above near feminine;dam phooey;CHILENA;12781;2024-06-12;1388;passionate hamper;euthanise;23428;22900;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;18223;10400;ESCOLAR;pilot;puzzling concerning;COLOMBIANA;22781;2024-06-13;8274;surprisingly uh-huh;madly consequently;12324;29163;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;339;19352;RUT;ambitious modulo truthfully;fame;COLOMBIANA;4397;2024-06-13;16505;lamb;bat comfort coo;21878;29825;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;373;22264;ESCOLAR;fully healthily inhere;whelp;CHILENA;24285;2024-06-13;12339;so atop;halibut;18431;27458;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;6335;11363;PASAPORTE;hygienic daily through;evangelise pomelo painfully;DOMINICANA;10157;2024-06-13;29331;so comptroller hoof;associate;193;26710;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;28818;18449;RUT;visible;hack;COLOMBIANA;22008;2024-06-13;5109;eventually ew engage;whoever;26528;1352;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;1647;2257;OTRO;dehumanise provided burning;amalgamate;OTRA;21082;2024-06-12;2856;qua enormous;whirring seriously;16015;5711;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;8746;9785;OTRO;oblong impassioned;irresponsible cheerfully till;CHILENA;5005;2024-06-13;21333;when;whenever amongst vascular;17125;30196;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;28875;16560;PASAPORTE;fairly toward;divulge blah;OTRA;17221;2024-06-13;18719;apud hence;readjust;5837;16343;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;24271;14933;PASAPORTE;springboard evenly married;amid spruce staircase;DOMINICANA;13159;2024-06-12;25012;inasmuch;meanwhile or mineral;24291;16102;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
