id;nombres;apellidos;relacion;telefono;asociado;email
1;geez;appropriate;provided;onto giant;true;Sergio.PatinoGuardado63@gmail.com
2;flog;soil lazily;accelerate;mare lest;false;Mario59@hotmail.com
3;until till considering;yum which;telecommute;dream before difficult;true;Teodoro89@hotmail.com
4;following;surprisingly;infancy geez;boohoo ouch;true;Eloisa.LucioVelasquez55@hotmail.com
5;gee including;absent storyboard;dimple toward;verbally bah;false;Pablo.HuertaManzanares91@yahoo.com
6;mouse waterskiing blah;lest longingly;even warped;or at furthermore;false;Graciela2@hotmail.com
7;who boo;delicious babyish;whoever unburden;so;false;Olivia_VillagomezSuarez89@gmail.com
8;dance afraid aboard;worm yearly;guzzle;yet;false;Diego82@yahoo.com
9;uh-huh failing psst;detour peak;afore;between consensus airfreight;true;MariaCristina.LugoFerrer@yahoo.com
10;second safely because;but;tool;er through;true;Veronica_MarroquinArellano84@gmail.com
